method,seed,episode,loss,reward,useful_correct,redundant_correct,no_search_correct,distractor_wrong,useful_minus_redundant,avg_prefix_ig,avg_redundancy_penalty
reward_tpo,0,1,1.4631857872009277,0.0729166641831398,0.015625,0.02083333395421505,0.0052083334885537624,0.2083333283662796,-0.00520833395421505,0.22697754204273224,0.6666666865348816
reward_tpo,0,20,0.908266544342041,0.71875,0.0989583358168602,0.1197916641831398,0.0052083334885537624,0.0364583320915699,-0.020833328366279602,0.08026609569787979,0.6315104365348816
reward_tpo,0,40,1.1478278636932373,0.84375,0.1197916641831398,0.0989583358168602,0.0052083334885537624,0.015625,0.020833328366279602,0.08528163284063339,0.5846354365348816
reward_tpo,0,60,1.2373812198638916,0.8854166865348816,0.09375,0.0833333358168602,0.010416666977107525,0.015625,0.010416664183139801,0.07383476942777634,0.55859375
reward_tpo,0,80,1.2840720415115356,0.84375,0.1041666641831398,0.09375,0.010416666977107525,0.010416666977107525,0.010416664183139801,0.07112997770309448,0.5768229365348816
reward_tpo,0,100,1.308842658996582,0.8645833134651184,0.0572916679084301,0.09375,0.0,0.015625,-0.0364583320915699,0.04079120233654976,0.59765625
reward_tpo,0,120,1.4066777229309082,0.90625,0.0885416641831398,0.1614583283662796,0.0052083334885537624,0.0,-0.0729166641831398,0.0727333277463913,0.6575520634651184
reward_tpo,1,1,1.5405254364013672,0.078125,0.015625,0.0364583320915699,0.0,0.4791666567325592,-0.0208333320915699,0.1333976686000824,0.60546875
reward_tpo,1,20,1.0254286527633667,0.671875,0.1302083283662796,0.0625,0.0,0.09375,0.0677083283662796,0.0758618712425232,0.609375
reward_tpo,1,40,1.1000447273254395,0.8385416865348816,0.1614583283662796,0.1510416716337204,0.0052083334885537624,0.0885416641831398,0.010416656732559204,0.027930254116654396,0.6263020634651184
reward_tpo,1,60,1.0449912548065186,0.765625,0.125,0.1614583283662796,0.010416666977107525,0.09375,-0.0364583283662796,0.08424624055624008,0.69921875
reward_tpo,1,80,1.2498555183410645,0.8645833134651184,0.1770833283662796,0.2447916716337204,0.015625,0.0729166641831398,-0.0677083432674408,0.04624468460679054,0.7708333134651184
reward_tpo,1,100,1.2640371322631836,0.890625,0.171875,0.2291666716337204,0.0052083334885537624,0.0625,-0.0572916716337204,0.05940289422869682,0.7356770634651184
reward_tpo,1,120,1.22941255569458,0.875,0.1510416716337204,0.2395833283662796,0.0364583320915699,0.09375,-0.0885416567325592,0.042929839342832565,0.7005208134651184
reward_tpo,2,1,1.577660322189331,0.1875,0.02083333395421505,0.0572916679084301,0.0,0.2083333283662796,-0.03645833395421505,0.17024004459381104,0.8098958134651184
reward_tpo,2,20,0.9964237213134766,0.625,0.078125,0.125,0.0,0.0677083358168602,-0.046875,0.08305366337299347,0.671875
reward_tpo,2,40,1.131427526473999,0.859375,0.0729166641831398,0.0729166641831398,0.0,0.015625,0.0,0.04459214583039284,0.5755208134651184
reward_tpo,2,60,1.2336726188659668,0.859375,0.0520833320915699,0.0885416641831398,0.0052083334885537624,0.0,-0.0364583320915699,0.0388740599155426,0.5963541865348816
reward_tpo,2,80,1.2476691007614136,0.8385416865348816,0.0416666679084301,0.03125,0.0,0.02083333395421505,0.0104166679084301,0.02552257478237152,0.5169270634651184
reward_tpo,2,100,1.2488852739334106,0.90625,0.046875,0.0572916679084301,0.0,0.0,-0.0104166679084301,0.030896494165062904,0.5377604365348816
reward_tpo,2,120,1.3380200862884521,0.9114583134651184,0.03125,0.0364583320915699,0.0,0.0052083334885537624,-0.0052083320915699005,0.013494443148374557,0.5247395634651184
prefixig_atgpo,0,1,-0.03560172766447067,0.0572916679084301,0.02083333395421505,0.015625,0.0,0.1770833283662796,0.00520833395421505,0.31420275568962097,0.7825520634651184
prefixig_atgpo,0,20,-0.007780079729855061,0.875,0.0,0.875,0.0,0.0,-0.875,0.633984386920929,2.25390625
prefixig_atgpo,0,40,-0.003633923828601837,0.9739583134651184,0.2604166567325592,0.7135416865348816,0.0,0.0,-0.4531250298023224,0.6208256483078003,1.9283853769302368
prefixig_atgpo,0,60,-0.0015123126795515418,0.9739583134651184,0.2395833283662796,0.734375,0.0,0.0,-0.4947916716337204,0.621769905090332,1.9869791269302368
prefixig_atgpo,0,80,0.022516988217830658,0.9739583134651184,0.2708333432674408,0.703125,0.0,0.0,-0.4322916567325592,0.6138434410095215,1.73828125
prefixig_atgpo,0,100,-0.000966154970228672,0.9791666865348816,0.703125,0.2760416567325592,0.0,0.0,0.4270833432674408,0.5856195092201233,0.7864583134651184
prefixig_atgpo,0,120,-0.00017705756181385368,0.984375,0.7395833134651184,0.2447916716337204,0.0,0.0,0.494791641831398,0.5847174525260925,0.7552083134651184
prefixig_atgpo,1,1,-0.042907536029815674,0.09375,0.0364583320915699,0.03125,0.0,0.3125,0.0052083320915699005,0.2664203643798828,0.6861979365348816
prefixig_atgpo,1,20,-0.010747730731964111,0.4270833432674408,0.1666666716337204,0.2604166567325592,0.0,0.0,-0.0937499850988388,0.6217783093452454,2.0143229961395264
prefixig_atgpo,1,40,-0.0028383247554302216,0.9270833134651184,0.1666666716337204,0.7604166865348816,0.0,0.0,-0.5937500149011612,0.6233577728271484,2.1197917461395264
prefixig_atgpo,1,60,-0.0031373118981719017,0.96875,0.234375,0.734375,0.0,0.0,-0.5,0.6215113997459412,2.00390625
prefixig_atgpo,1,80,-0.0024411671329289675,0.9791666865348816,0.25,0.7291666865348816,0.0,0.0,-0.4791666865348816,0.6211768984794617,1.9934896230697632
prefixig_atgpo,1,100,-0.0035290922969579697,0.9739583134651184,0.125,0.8489583134651184,0.0,0.0052083334885537624,-0.7239583134651184,0.6272247433662415,2.2278645038604736
prefixig_atgpo,1,120,-0.0026833750307559967,0.9947916865348816,0.4583333432674408,0.5364583134651184,0.0,0.0,-0.07812497019767761,0.6083225607872009,1.5729166269302368
prefixig_atgpo,2,1,-0.03690020740032196,0.140625,0.0416666679084301,0.0416666679084301,0.0,0.171875,0.0,0.3293139934539795,1.0338541269302368
prefixig_atgpo,2,20,-0.0006489582010544837,0.0,0.0,0.0,0.0,0.0052083334885537624,0.0,0.634032666683197,2.4895832538604736
prefixig_atgpo,2,40,-3.1993447919376194e-05,0.0,0.0,0.0,0.0,0.0052083334885537624,0.0,0.6341829895973206,2.4947917461395264
prefixig_atgpo,2,60,-4.377216089590519e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6354940533638,2.48828125
prefixig_atgpo,2,80,-3.804681182373315e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.6354940533638,2.48828125
prefixig_atgpo,2,100,2.8094898629760223e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6349348425865173,2.4947917461395264
prefixig_atgpo,2,120,-1.5832483934996588e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.6350851655006409,2.5
prefixig_tpo,0,1,1.4657622575759888,0.078125,0.0364583320915699,0.015625,0.0,0.1979166716337204,0.0208333320915699,0.30751803517341614,0.7760416865348816
prefixig_tpo,0,20,0.9456212520599365,0.6197916865348816,0.5729166865348816,0.0364583320915699,0.0052083334885537624,0.02604166604578495,0.5364583544433117,0.8345839381217957,0.20703125
prefixig_tpo,0,40,1.224717378616333,0.7447916865348816,0.7291666865348816,0.015625,0.0,0.03125,0.7135416865348816,0.9097864627838135,0.1145833358168602
prefixig_tpo,0,60,1.257922887802124,0.765625,0.765625,0.0,0.0,0.015625,0.765625,0.9238907694816589,0.0859375
prefixig_tpo,0,80,1.36150062084198,0.7916666865348816,0.7864583134651184,0.0,0.0,0.02083333395421505,0.7864583134651184,0.9532468914985657,0.0729166641831398
prefixig_tpo,0,100,1.3526976108551025,0.8020833134651184,0.796875,0.0052083334885537624,0.0,0.0052083334885537624,0.7916666665114462,0.9400158524513245,0.0872395858168602
prefixig_tpo,0,120,1.5022600889205933,0.828125,0.8229166865348816,0.0052083334885537624,0.0,0.0,0.8177083530463278,0.9637295603752136,0.0364583320915699
prefixig_tpo,1,1,1.46327805519104,0.0677083358168602,0.02604166604578495,0.02604166604578495,0.0,0.375,0.0,0.26692304015159607,0.6705729365348816
prefixig_tpo,1,20,0.9406107664108276,0.2916666567325592,0.2708333432674408,0.015625,0.0052083334885537624,0.0572916679084301,0.2552083432674408,0.8060100674629211,0.2200520783662796
prefixig_tpo,1,40,1.0164453983306885,0.7083333134651184,0.6979166865348816,0.0052083334885537624,0.0052083334885537624,0.03125,0.6927083530463278,0.8821845054626465,0.13671875
prefixig_tpo,1,60,1.3028156757354736,0.6927083134651184,0.6666666865348816,0.015625,0.015625,0.0364583320915699,0.6510416865348816,0.894626796245575,0.1380208283662796
prefixig_tpo,1,80,1.4266083240509033,0.7916666865348816,0.78125,0.010416666977107525,0.0052083334885537624,0.015625,0.7708333330228925,0.92795729637146,0.125
prefixig_tpo,1,100,1.478623390197754,0.78125,0.75,0.02604166604578495,0.0052083334885537624,0.02604166604578495,0.723958333954215,0.9181387424468994,0.1419270783662796
prefixig_tpo,1,120,1.4748741388320923,0.7395833134651184,0.7291666865348816,0.010416666977107525,0.0,0.0416666679084301,0.7187500195577741,0.9239678382873535,0.0989583358168602
prefixig_tpo,2,1,1.4839589595794678,0.125,0.046875,0.0364583320915699,0.0052083334885537624,0.1822916716337204,0.0104166679084301,0.33096322417259216,0.9752604365348816
prefixig_tpo,2,20,1.0652217864990234,0.1875,0.1614583283662796,0.02083333395421505,0.0052083334885537624,0.02604166604578495,0.14062499441206455,0.847553551197052,0.2369791716337204
prefixig_tpo,2,40,1.0802648067474365,0.6510416865348816,0.6145833134651184,0.0364583320915699,0.0,0.02604166604578495,0.5781249813735485,0.8692380785942078,0.1770833283662796
prefixig_tpo,2,60,1.365596055984497,0.734375,0.6979166865348816,0.0364583320915699,0.0,0.02083333395421505,0.6614583544433117,0.9053720831871033,0.1796875
prefixig_tpo,2,80,1.4206445217132568,0.703125,0.6822916865348816,0.02083333395421505,0.0,0.0052083334885537624,0.6614583525806665,0.9346796870231628,0.10546875
